Date,Shelfwide,,,,,East-Area,,,,,West-Area,,,,,East-BWDO,,,,,West-BWDO,,,,,
Date,Mean,Median,STDEV,LCI,UCI,Mean,Median,STDEV,LCI,UCI,Mean,Median,STDEV,LCI,UCI,Mean,Median,STDEV,LCI,UCI,Mean,Median,STDEV,LCI,UCI,
7/18/1985,14398.63,14250,2284.74,10274.38,19326.88,6210.4,6225,1140.3,4012.5,8450,8188.3,8000,1836.4,4937.5,12513,2.34,2.34,0.33,1.71,3,3.72,3.72,0.28,3.17,4.23,LUMCON
7/11/1986,13896.85,13500,3887.46,7598.75,22750.63,4016.6,3975,1030.7,2187.5,6162.5,9880.3,9475,3632.1,3987.5,18238,3.05,3.05,0.38,2.36,3.79,3.59,3.59,0.47,2.64,4.48,LUMCON
7/3/1987,12235.65,11962.5,3096.51,7199.38,19401.25,1896.1,1825,612.28,925,3212.5,10340,10050,2973.1,5500,17238,3.77,3.78,0.34,3.12,4.4,3.55,3.53,0.42,2.75,4.39,LUMCON
8/14/1988,825.73,612.5,753.2,125,2825,368.35,300,254.61,50,975,457.38,225,687.09,0,2387.5,5.02,5.03,0.3,4.41,5.55,5.81,5.86,0.41,4.91,6.46,LUMCON
8/7/1989,11485.3,10125,5776.75,4150,25550.63,4000.3,3950,803.34,2650,5862.5,7485,6237.5,5598.6,637.5,21150,3.09,3.11,0.32,2.44,3.67,3.96,3.97,0.78,2.37,5.45,LUMCONR
7/25/1990,17939.13,17375,3917.2,11775,26175.63,6526,6500,895.5,4800,8312.5,11413,10800,3664.8,5625,19738,2.28,2.29,0.26,1.78,2.8,3.32,3.32,0.43,2.49,4.15,LUMCONR
7/18/1991,18272.93,17625,3925.96,12174.38,27408.13,4936.9,4875,856.38,3525,6937.5,13336,12700,3691.1,7800,22200,2.79,2.81,0.32,2.12,3.41,3.21,3.23,0.46,2.3,4.09,LUMCONR
5/4/1992,2552,2450,1009.85,900,4762.5,2018.85,1950,847.95,625,4037.5,533.15,450,406.85,50,1537.5,3.82,3.83,0.35,3.13,4.49,5.67,5.68,0.2,5.24,6.04,LATEX
5/9/1992,5307.4,5200,1292.87,3075,8050,3938.63,3925,999.34,2137.5,5950,1368.78,1225,743.82,275,3250,2.91,2.92,0.28,2.34,3.42,5.07,5.08,0.24,4.61,5.5,NECOP
5/18/1992,12907.78,12775,2087.36,9087.5,17237.5,6092.08,6075,1047.28,4037.5,8287.5,6815.7,6675,1706.78,3975,10537.5,2.32,2.32,0.26,1.81,2.83,3.64,3.64,0.21,3.19,4.04,NECOP
7/4/1992,3952.7,3500,2351.65,562.5,9450,3286.43,2875,2056.22,337.5,8187.5,666.28,475,660.88,0,2400,3.4,3.41,0.79,1.87,4.88,5.62,5.64,0.26,5.09,6.09,SEAMAP
7/26/1992,9923.4,9750,1384.84,7600,13000,5519.2,5487.5,648.37,4325,6887.5,4404.2,4250,1210.31,2525,7250,2.58,2.58,0.22,2.15,2.99,4.3,4.31,0.27,3.73,4.8,LUMCONR
8/4/1992,7869.33,7775,1899.22,4400,11787.5,3764.68,3775,1069.48,1775,5900,4104.65,4000,1459.1,1625,7300,3.12,3.11,0.34,2.46,3.81,4.39,4.39,0.22,3.95,4.81,LATEX
5/2/1993,3491.53,2625,3029.29,175,11950,1761.85,1225,1716.87,25,6437.5,1729.68,1050,1837.79,25,6575,4.19,4.21,0.92,2.31,5.91,5.21,5.24,0.46,4.24,6.02,LATEX-L
7/6/1993,27168.35,27075,2932.91,21625,32975,6949.13,6937.5,1301.46,4450,9325,20219.23,20112.5,2486.71,15687.5,25250,2.09,2.08,0.3,1.51,2.68,2.39,2.4,0.19,2.02,2.74,NECOP
7/26/1993,21154.23,21050,1713.96,17975,24562.5,8185.7,8137.5,645.49,6987.5,9512.5,12968.53,12875,1565.84,10062.5,16187.5,1.8,1.8,0.17,1.46,2.13,3.27,3.28,0.22,2.83,3.71,LUMCONR
7/30/1993,17627.75,17637.5,1822.07,14112.5,21150,8075.35,8125,1187.39,5775,10337.5,9552.4,9525,1168.81,7437.5,11950,1.83,1.81,0.31,1.26,2.42,3.71,3.72,0.16,3.39,4,LATEX
5/1/1994,1835.53,1162.5,1928.61,25,7500,754.85,375,962.73,0,3625,1080.68,600,1343.28,0,5087.5,4.96,4.98,0.82,3.22,6.41,5.5,5.54,0.52,4.39,6.4,LATEX-L
7/12/1994,15580,15525,2368.91,11425,20650,5154.53,5150,1255.15,2775,7662.5,10425.48,10362.5,1935.91,7025,14500,2.7,2.7,0.39,1.94,3.48,3.57,3.57,0.25,3.07,4.06,SEAMAP
7/26/1994,15724.8,15525,1708.71,12750,19750,6438.73,6450,632.28,5225,7725,9286.08,9125,1578.87,6587.5,12850,2.3,2.3,0.18,1.95,2.65,3.66,3.67,0.24,3.18,4.11,LUMCON
7/31/1994,11852.33,11887.5,1911.91,8262.5,15425,5671.6,5687.5,1291.31,3150,8162.5,6180.73,6125,1147.76,4050,8512.5,2.51,2.49,0.36,1.86,3.24,4.05,4.05,0.16,3.71,4.37,LATEX
7/13/1995,21274.8,21150,3029.29,15499.38,27375.63,5704.8,5675,1415.2,3012.5,8512.5,15570,15500,2525.4,10575,20700,2.48,2.47,0.4,1.7,3.29,3.05,3.04,0.26,2.56,3.55,SEAMAP
