"","outp_tim","spgAtQ","spgAtN","spgMsQ","spgMsN","spgWwi","smrAtQ","smrWwi","smr14wi2W","smr14wi2E"
"1",1985-06-01,12304.6137391104,38470.75980346,28678.0437018624,143738.432173224,-1.62757310383333,8903.7097163743,-0.691470600166667,40.47985683,19.11216615
"2",1985-06-02,12315.6258461184,38646.1243628484,28690.9435986432,144011.424622472,-1.43166029733333,8793.74088740501,-0.698124591,41.63820489,21.34245397
"3",1985-06-03,12315.3112144896,38783.7251634369,28677.7290702336,144153.453695887,-1.29805692816667,8683.22399043716,-0.715396874166667,42.01775119,20.77755739
"4",1985-06-04,12297.0625800192,38864.6930404816,28630.5343259136,144121.882902645,-1.26192410833333,8576.28983427468,-0.693792251333333,41.59365067,20.03126678
"5",1985-06-05,12268.1164701696,38912.8166912188,28565.7202103808,144002.200541408,-1.225999016,8471.83213351308,-0.656522668333333,43.88179619,18.14704727
"6",1985-06-06,12229.4167798272,38932.1446150486,28464.4088259072,143703.23140854,-1.204867064,8365.19231016464,-0.587118333,46.04489193,16.25124075
"7",1985-06-07,12184.10982528,38931.6323068184,28349.5682813952,143338.136688475,-1.16713172866667,8254.60436734513,-0.52109069,45.81265579,14.40776321
"8",1985-06-08,12125.2737106944,38890.8811410934,28226.8619461632,142934.804002394,-1.13332736183333,8143.76268934111,-0.450111378833333,43.99167688,14.466349
"9",1985-06-09,12064.2351747072,38843.5779611326,28097.8629783552,142502.182864682,-1.17804866,8029.54125867933,-0.331045461666667,43.36721032,15.33826702
"10",1985-06-10,12001.623480576,38792.358960598,27960.6835881984,142030.595822834,-1.24199389916667,7912.60993624692,-0.218179558833333,42.19632953,14.86631012
"11",1985-06-11,11939.0117864448,38741.6568966905,27818.7847236096,141537.994011097,-1.32118121483333,7801.17959261481,-0.1438366895,39.10363013,15.77441182
"12",1985-06-12,11877.0293555712,38695.4474090937,27670.9078580736,141017.273066647,-1.3364270395,7687.96295328372,-0.0678231605,38.34441667,24.28744254
"13",1985-06-13,11815.3615563264,38651.2571443077,27520.1993078784,140484.249474534,-1.36619703716667,7581.08969356552,0.0202959975,34.2366604,24.09574201
"14",1985-06-14,11748.9742826496,38592.7347346646,27364.4566516224,139927.455676475,-1.32024493366667,7474.51076666137,-0.0346400733333334,31.27006796,27.06777934
"15",1985-06-15,11680.3845875712,38526.5950345623,27203.9945209344,139347.854062438,-1.20046962383333,7376.14271032816,-0.181589494166667,30.01391256,30.86768501
"16",1985-06-16,11609.90710272,38453.5492237593,27035.3519678976,138727.01032579,-1.18066951516667,7282.56517427861,-0.303902967166667,27.4858353,40.75018375
"17",1985-06-17,11537.8564597248,38373.9129288014,26857.2704659968,138058.523459249,-1.11668011483333,7192.18470155396,-0.3333008265,24.65533409,40.03111884
"18",1985-06-18,11457.6253943808,38267.2975780323,26668.8061203456,137336.540987594,-1.0647949045,7108.40134362674,-0.2922616815,27.67095143,41.501935
"19",1985-06-19,11371.4163280896,38139.4640792625,26468.7004044288,136553.751619049,-0.980201309166667,7031.55003094049,-0.1928024395,29.82411027,42.55144737
"20",1985-06-20,11278.9146292224,37989.9754225318,26251.6045805568,135683.050716345,-1.1097656635,6961.98599275355,-0.1314754855,27.95249432,40.09967976
"21",1985-06-21,11180.434929408,37816.8053180791,26023.182018048,134752.988479103,-1.276946294,6902.31762676274,-0.151531543333333,26.28465333,38.35735045
"22",1985-06-22,11077.8650184192,37628.0465362432,25785.3205066752,133772.401389817,-1.35391633333333,6844.70959047019,-0.214075794,34.43210896,40.12052832
"23",1985-06-23,10970.8902646272,37423.6262173072,25536.4468882944,132733.250218594,-1.420956781,6790.79593846421,-0.293229954333333,39.70744494,39.83717609
"24",1985-06-24,10858.5667731456,37200.3183712653,25277.8196894208,131641.825881138,-1.446215174,6740.3026367455,-0.369264900666667,39.93708764,36.37356758
"25",1985-06-25,10744.67012352,36969.2605559378,25008.8096467968,130495.05886118,-1.3617304165,6690.16456428511,-0.416518775166667,38.79453473,32.6086049
"26",1985-06-26,10626.3686310912,36723.1481205829,24731.3045501952,129302.750971493,-1.3218186455,6639.55961908521,-0.406100228166667,37.01735683,27.81159891
"27",1985-06-27,10508.69640192,36477.5727294122,24450.9677689344,128094.803062502,-1.34890125416667,6590.21320040052,-0.338434898833333,35.35436493,24.49339143
"28",1985-06-28,10391.9680676352,36234.5222022676,24168.7431979008,126875.247040444,-1.324408292,6540.6130465313,-0.219512018666667,32.72519136,25.55662081
"29",1985-06-29,10273.9812068352,35986.6848214571,23885.5747319808,125648.501146566,-1.21807995483333,6490.97229503257,-0.172465962166667,30.19299813,24.28511761
"30",1985-06-30,10151.589503232,35722.5475835049,23601.7770028032,124415.500247941,-1.25199206466667,6443.76740130519,-0.183430558666667,28.70271731,22.54956328
"31",1985-07-01,10027.310009856,35361.5185253486,23320.8109582848,122894.108828199,-1.21504487933333,6399.01866416392,-0.226933712666667,25.04164438,20.03139668
"32",1985-07-02,9912.1548337152,35031.9814411277,23056.205758464,121352.840425483,-1.191996241,6353.99589302338,-0.268114892,24.03029905,18.91582784
"33",1985-07-03,9803.2922901504,34722.9798896299,22796.9492963328,119844.546030015,-1.22698168283333,6308.44535269904,-0.270900896833333,24.1206399,17.44635997
"34",1985-07-04,9705.1272219648,34449.0138773572,22565.6950491648,118486.082963662,-1.25462493766667,6260.33716171479,-0.240641343333333,23.35639906,15.54800135
"35",1985-07-05,9607.9060486656,34177.3896312552,22338.5310131712,117149.989149205,-1.30576698116667,6211.26477702937,-0.214704739166667,21.09094477,14.94692153
"36",1985-07-06,9508.167822336,33897.168501793,22113.2547669504,115826.032453804,-1.2461243315,6160.99476227303,-0.2306785795,19.91012661,19.36927405
"37",1985-07-07,9408.4295960064,33616.6930921906,21885.4614676992,114491.359294644,-1.158225431,6108.26859093058,-0.210031243666667,18.04729077,30.11549809
"38",1985-07-08,9309.0060013056,33336.6457989282,21654.52185216,113142.116280656,-1.00943712516667,6054.53762825745,-0.315845317833333,17.50994528,30.49833551
