Date,ha_e_AllUnc_mean,ha_w_AllUnc_ba_mean
1985-06-01,6678.3331699188075,7617.24885118163
1985-06-02,6537.327409853513,7656.5555501997915
1985-06-03,6533.930009313146,7471.269926714875
1985-06-04,6566.920497280159,7612.984591991154
1985-06-05,6580.4379491087175,7655.947465933706
1985-06-06,6645.329662241129,7469.069421724331
1985-06-07,6712.091420703123,7445.527651661055
1985-06-08,6839.433242025841,7545.51500177629
1985-06-09,6906.148944676316,7433.6214446652675
1985-06-10,6980.646985595968,7570.568855568224
1985-06-11,6912.538717022539,7800.295708298769
1985-06-12,6651.482346831024,7542.181673394563
1985-06-13,6648.131770614404,7951.347611894662
1985-06-14,6570.228755317679,8540.502845917055
1985-06-15,6277.326318923587,8690.66739438887
1985-06-16,5756.82525814598,8934.447095712518
1985-06-17,5809.781822931447,9566.455742742062
1985-06-18,5743.063761307489,8818.312127956135
1985-06-19,5729.603867590031,8431.266103996064
1985-06-20,5885.614656223266,9037.17520112054
1985-06-21,5914.354577337822,9686.11563953136
1985-06-22,5640.2989387377065,8751.581260692723
1985-06-23,5476.751399250987,8265.203488758736
1985-06-24,5604.906692136746,8709.890830843773
1985-06-25,5714.8852868657195,9178.64167294006
1985-06-26,5836.057969864964,9978.83054472233
1985-06-27,6059.5853014897375,10125.509150004675
1985-06-28,6041.862914399953,10358.803957528911
1985-06-29,6185.80335768864,10912.001959532696
1985-06-30,6288.338424116239,11287.929324441066
1985-07-01,6587.258712057295,12421.311880813144
1985-07-02,6601.491906496609,12681.733727348645
1985-07-03,6608.714030679347,12782.19030650576
1985-07-04,6720.506906126527,12810.470128830566
1985-07-05,6804.593970906653,13229.076558618379
1985-07-06,6460.870029406793,13114.899636728172
1985-07-07,6001.146320340765,12670.236874539494
1985-07-08,5878.771125037449,12607.071830687852
1985-07-09,5816.17312496609,12623.199875009208
1985-07-10,5889.499043955134,12240.471680866907
1985-07-11,5899.389010809234,11161.327581389276
1985-07-12,6017.592233193328,11112.687017172002
1985-07-13,6001.363233946921,11272.75145159456
1985-07-14,6170.567076258012,11115.880313574127
1985-07-15,6186.995440964804,10911.263903897156
1985-07-16,6330.457710819077,10290.436490130132
1985-07-17,6268.898377024801,10042.06982154262
1985-07-18,6353.705176306418,10187.586157775333
1985-07-19,6450.118073510306,10598.826206824002
1985-07-20,6379.930891940537,10972.406324734578
1985-07-21,6368.733836649036,11329.564862130039
1985-07-22,6394.546927724211,10667.433479918887
1985-07-23,6362.414765502907,9678.685171923536
1985-07-24,6308.946323844751,8985.65133135878
1985-07-25,6178.665495630415,8038.53949800956
1985-07-26,6084.533035076518,7537.267317497741
1985-07-27,6071.8445699958775,7199.65258777024
1985-07-28,5931.917638226179,6898.654244970954
1985-07-29,5894.29921749958,7104.9737530528955
1985-07-30,5786.034041830933,6823.577136659897
1985-07-31,5769.415419909546,7007.186559332031
1985-08-01,5561.82005975257,6705.195097138572
1985-08-02,5504.022525132317,6608.862231709485
1985-08-03,5585.617136183737,6500.948671429087
1985-08-04,5494.756461461957,6692.632207551717
1985-08-05,5489.933231151437,7104.734424486879
1985-08-06,5397.3611187120905,7329.810178046153
1985-08-07,5395.797522930395,7139.603982886198
1985-08-08,5289.57263342313,6422.733051051764
1985-08-09,5248.639842795868,6905.784531410932
1985-08-10,5219.801256372786,6513.875786977958
1985-08-11,5202.6415705391455,6195.019264285694
1985-08-12,5150.201628269,6126.324442274502
1985-08-13,5297.898264649992,6306.641534353077
1985-08-14,5251.885201657602,6533.13822044334
1985-08-15,4948.823577418467,6201.831919863662
1985-08-16,3928.128456379733,5425.048776429681
1985-08-17,3688.098655218325,5343.662057122222
1985-08-18,3740.949712476361,4907.420545840213
1985-08-19,3774.5333219099657,4837.103360322998
1985-08-20,3935.4300613490045,4560.309649080073
1985-08-21,4018.8992656507244,4714.823268020408
1985-08-22,4175.02404334576,4952.443273442255
1985-08-23,4260.0170161656,5365.556765394346
1985-08-24,4367.909412437943,5526.148256654817
1985-08-25,4558.700164584026,5485.534693386942
1985-08-26,4780.185223534258,5805.165015721573
1985-08-27,4654.006222719763,6185.320912961053
1985-08-28,4295.163515135202,6209.75190453927
1985-08-29,4131.233110189399,5627.9241152384
1985-08-30,4039.73086792801,6048.804871011222
1985-08-31,3618.011977496249,5863.838263863357
1985-09-01,3408.088310353628,5497.609145225956
1985-09-02,3270.1680372421984,5504.490431833814
1985-09-03,3056.853037430688,4938.583619775548
1985-09-04,2852.3409417558037,3815.78320896937
1985-09-05,2807.2290754276423,3642.977983822674
1985-09-06,2794.231202957143,3581.0102097289855
1985-09-07,2895.7004638481258,3553.7056530974587
1985-09-08,3047.0520269576996,4002.3665203141672
1985-09-09,3192.261460585667,4210.017772168632
1985-09-10,3331.367860807757,4793.272709292399
1985-09-11,3435.7634837588575,5484.3673216095685
1985-09-12,3620.279739482922,5832.230924200617
1985-09-13,3817.263688111961,6426.848224402345
1985-09-14,4041.803873471695,6873.194354843149
1985-09-15,3373.0567239160378,6667.261612386642
1985-09-16,2851.5115939177167,6332.655628416765
1985-09-17,2824.628409483445,6619.59258387964
1985-09-18,2483.9554374334775,6463.470690032193
1985-09-19,2127.796640548415,6019.667173713815
1985-09-20,1744.6396384280672,5643.649298304919
1985-09-21,1500.986521488688,5536.846835980468
1985-09-22,1236.372007262238,5659.3602866444735
1985-09-23,1134.1783017336659,5725.53316823372
1985-09-24,1052.1478657049888,5615.583188289494
1985-09-25,1092.8273246924011,5857.871336246625
1985-09-26,1133.8282088033034,5987.396369660357
1985-09-27,1254.9441845484141,5975.105575157354
1985-09-28,1281.635753522035,5990.389093086785
1985-09-29,1250.8332615684487,6053.530758177175
1985-09-30,1042.6837019681884,5703.866862031063
1986-06-01,3580.0712335723465,10046.267844071719
1986-06-02,3660.7732584215005,9849.093118336643
1986-06-03,3970.8392393103604,10755.535538368811
1986-06-04,4379.2195496934355,11143.33762075698
1986-06-05,4454.134283901587,11594.19869300312
1986-06-06,4376.121301003382,11359.416860633139
1986-06-07,4702.2216328503755,11689.219945519311
1986-06-08,4725.204284430108,11246.950528387135
1986-06-09,4628.764780857887,10588.527148992178
1986-06-10,4346.026463022273,10212.98990457533
1986-06-11,4237.604700004126,9549.331423184987
1986-06-12,4254.8342841061585,9503.676816138557
1986-06-13,4318.992824765458,9705.434238475811
1986-06-14,4625.9191381949195,10421.304730967804
1986-06-15,4826.506043061792,10874.343950579925
1986-06-16,5122.7907693882335,11405.740153268314
1986-06-17,5264.458085491032,12174.339793297257
1986-06-18,5526.144622157435,12447.798949395512
1986-06-19,5547.319478989131,13272.01873716285
1986-06-20,5774.670390157368,14107.598400429792
1986-06-21,5850.150825312169,14954.505885385954
