year,month,t
1980,1,-3.3973816698987083
1980,2,-2.6771581617213283
1980,3,2.208556004603267
1980,4,10.404338256986769
1980,5,16.16262504739558
1980,6,21.15307608922402
1980,7,25.099164195297266
1980,8,23.20476974995666
1980,9,18.92567738363537
1980,10,10.617321981435556
1980,11,4.9761720914360765
1980,12,-0.10652880049344575
1981,1,-1.3433214786032388
1981,2,0.1520380982686725
1981,3,5.228388457481923
1981,4,13.093411423744103
1981,5,14.522706805700397
1981,6,20.919329722404363
1981,7,23.55068616167987
1981,8,22.12004578972332
1981,9,18.01737369367276
1981,10,10.80397755533283
1981,11,6.333330079827289
1981,12,-1.7021124033012962
1982,1,-7.1034945107845875
1982,2,-2.837357391821322
1982,3,3.9105474659201684
1982,4,8.26655423042658
1982,5,16.172102255126383
1982,6,18.469100177082776
1982,7,23.2767887590905
1982,8,22.406652607791724
1982,9,17.385683484797315
1982,10,11.35628799236141
1982,11,3.671407080850836
1982,12,0.9765312399619533
1983,1,-1.1208503509524859
1983,2,1.1643667285261274
1983,3,4.147693167859972
1983,4,7.400710250796156
1983,5,13.729358450774205
1983,6,19.538429167168722
1983,7,24.25210877980602
1983,8,25.221582572866215
1983,9,18.37605976901608
1983,10,12.145041368130816
1983,11,5.149397086775631
1983,12,-8.915871480915042
1984,1,-4.129758848509813
1984,2,2.1449234351783804
1984,3,2.1041609940737778
1984,4,8.965093229644179
1984,5,14.658853831341194
1984,6,20.919803500808776
1984,7,22.93036594067167
1984,8,23.366259458556303
1984,9,16.433831778519483
1984,10,11.591530602373728
1984,11,4.345207692142258
1984,12,-0.5246593649600704
1985,1,-5.997579508704316
1985,2,-3.8321417006847294
1985,3,5.721171579280281
1985,4,12.042822146299146
1985,5,17.053428795051637
1985,6,19.464285826346718
1985,7,23.43416918787334
1985,8,21.333187306645584
1985,9,16.95227168120196
1985,10,11.58712276119437
1985,11,1.6365892835469953
1985,12,-4.6632065501827284
1986,1,-0.3981101057075991
1986,2,-1.1637034216088347
1986,3,6.677215407425115
1986,4,11.18533443276381
1986,5,15.942125082964047
1986,6,21.68426439787878
1986,7,23.749656511807526
1986,8,21.421917678305107
1986,9,17.85767117187386
1986,10,11.68991682599249
1986,11,2.949034094351092
1986,12,-0.18859445970155916
1987,1,-1.706091577197424
1987,2,2.1909650033712254
1987,3,4.786084448580395
1987,4,11.477055531004249
1987,5,17.92331627665967
1987,6,21.673321907002
1987,7,23.516676215975814
1987,8,22.054288471226556
1987,9,17.927966616344744
1987,10,9.813085514836853
1987,11,6.170217463644179
1987,12,0.19691673488758768
1988,1,-5.219758826901693
1988,2,-2.3056604894006325
1988,3,4.3448193759465035
1988,4,10.227177703811709
1988,5,16.888035202800477
1988,6,22.868277029230452
1988,7,23.903963027233406
1988,8,23.701237049936687
1988,9,17.89041102785882
1988,10,10.203319948437032
1988,11,4.910753871371314
1988,12,-0.4951708761901927
1989,1,-0.014904332663404464
1989,2,-5.566619035957254
1989,3,3.4248890679544375
1989,4,10.34918378092747
1989,5,15.192231494898733
1989,6,19.50012618362657
1989,7,23.643524745461487
1989,8,22.108641290297907
1989,9,16.90797551290689
1989,10,11.852070900988082
1989,11,4.462308516731204
1989,12,-5.679200780257322
1990,1,1.1643214021185064
1990,2,0.8495696727564344
1990,3,5.458720646258638
1990,4,10.048442566360265
1990,5,14.247736868319638
1990,6,21.250217005524437
1990,7,22.710505626535205
1990,8,22.519556214902742
1990,9,19.69479343852463
1990,10,10.986791952643156
1990,11,6.546927056279311
1990,12,-2.8333844398877255
1991,1,-4.541731396938937
1991,2,2.4542032986185305
1991,3,5.494463418324981
