Date,West,Surface Salinity,Surface Temp,Bottom Salinity,Bottom Temp,30m salinity,30m temp,,East,Surface Salinity,Surface Temp,Bottom Salinity,Bottom Temp,30m salinity,30m temp,,,,,,West,,,,,,,,,East,,,,,,
7/17/1985,1,28.69,28.89,32.85,25.95,35.65,21.78,,1,26.78,28.21,34.28,22.76,35.97,22.25,,,,,,1,28.69,28.89,32.85,25.95,32.84,26.04,,,1,26.78,28.21,34.28,22.76,34.26,23.75
7/11/1986,10,25.42,30.39,31.11,28.07,34.37,25.73,,10,24.78,30,34.38,25.1,35.64,23.63,,,,,,10,25.42,30.39,31.11,28.07,31.11,28.07,,,10,24.78,30,34.38,25.1,34.35,25.62
7/2/1987,20,27.6,29.23,32,26.91,35.16,24.87,,20,27.02,29.01,33.89,25.06,36.03,22.08,,,,,,20,27.6,29.23,32,26.91,32,26.91,,,20,27.02,29.01,33.89,25.06,33.85,25.33
8/13/1988,30,30.84,30.14,33.26,27.22,34.96,23.73,,30,30.01,28.64,34.16,24.33,35.34,22.14,,,,,,30,30.84,30.14,33.26,27.22,33.26,27.22,,,30,30.01,28.64,34.16,24.33,34.13,24.53
8/6/1989,40,26.41,28.56,34.66,26.55,#N/A,#N/A,,40,24.72,29.88,33.25,25.31,35.4,23.54,,,,,,40,26.41,28.56,34.66,26.55,34.66,26.55,,,40,24.72,29.88,33.25,25.31,33.23,25.75
7/24/1990,50,27.88,28.65,30.88,27.38,35,25.65,,50,25.96,28.67,34.06,24.96,35.99,24.3,,,,,,50,27.88,28.65,30.88,27.38,30.88,27.38,,,50,25.96,28.67,34.06,24.96,34.03,25.44
7/17/1991,60,26.89,30.09,33.13,27.95,35.83,26.26,,60,23.12,29.9,34.07,25.42,35.99,23.48,,,,,,60,26.89,30.09,33.13,27.95,33.13,27.95,,,60,23.12,29.9,34.07,25.42,34.04,25.67
5/8/1992,70,27.52,21.69,29.48,19.14,36.04,20.6,,70,29.23,22.44,35.69,20.29,36.21,21.93,,,,,,70,27.52,21.69,29.48,19.14,29.48,19.16,,,70,29.23,22.44,35.69,20.29,35.65,21.97
5/17/1992,71,31.54,24.72,34.31,22.13,35.94,21.37,,71,30.68,24.51,35.11,20.73,36.16,20.84,,,,,,71,31.54,24.72,34.31,22.13,34.25,22.32,,,71,30.68,24.51,35.11,20.73,35.08,21.5
7/25/1992,72,27.71,29.79,34.01,24.74,33.15,25.29,,73,30.57,29.62,33.97,25.19,34.34,24.81,,,,,,72,27.71,29.79,34.01,24.74,33.99,24.73,,,73,30.57,29.62,33.97,25.19,33.98,25.19
7/3/1992,73,30.21,29.58,35.06,22.97,35.75,22.07,,81,24.6,29.63,35.22,23.24,35.97,22.99,,,,,,73,30.21,29.58,35.06,22.97,34.97,23.3,,,81,24.6,29.63,35.22,23.24,35.18,24.58
